epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6653,1.51188,2.85255,1.806,0.00629,0.49669,0.0672,0.02169,2.51824,3.87725,3.71942,0.08119,0.00019,0.00019
2,25.8035,1.34578,2.17402,1.6001,0.00415,0.47884,0.09762,0.02918,2.30892,3.58913,3.38403,0.0613865,0.00038649,0.00038649
3,37.0081,1.36676,1.77838,1.63451,0.59338,0.12706,0.2689,0.13038,1.73473,2.87779,2.59846,0.0415794,0.00057938,0.00057938
4,48.0637,1.38593,1.69813,1.66819,0.41498,0.24603,0.28149,0.1235,1.90737,2.59411,2.74985,0.0217687,0.00076867,0.00076867
5,59.3199,1.41474,1.61464,1.67042,0.28959,0.34193,0.2425,0.08837,2.03993,2.72384,2.73282,0.00195436,0.00095436,0.00095436
6,70.4363,1.32387,1.49031,1.59968,0.52188,0.39153,0.43632,0.21771,1.67155,1.82569,2.39132,0.000955,0.000955,0.000955
7,81.6177,1.34059,1.41968,1.64237,0.4836,0.35384,0.3542,0.14634,1.95644,2.20098,2.96594,0.000946,0.000946,0.000946
8,92.4965,1.3354,1.40787,1.62503,0.41524,0.26786,0.30924,0.15729,1.78165,2.58661,2.60269,0.000937,0.000937,0.000937
9,103.664,1.34728,1.42478,1.64017,0.33559,0.42991,0.32317,0.12386,1.81796,2.51048,2.52312,0.000928,0.000928,0.000928
10,114.948,1.32892,1.39219,1.62653,0.48425,0.4828,0.42094,0.16691,1.60312,1.79746,2.19864,0.000919,0.000919,0.000919
11,125.81,1.30669,1.24381,1.5644,0.61309,0.59822,0.63511,0.26059,1.64563,1.89084,2.20708,0.00091,0.00091,0.00091
12,136.808,1.28384,1.23809,1.57658,0.80324,0.50384,0.56926,0.30842,1.62249,1.60666,2.26721,0.000901,0.000901,0.000901
13,148.031,1.29012,1.24585,1.56274,0.56138,0.51267,0.54521,0.2734,1.6658,1.43377,2.20856,0.000892,0.000892,0.000892
14,159.258,1.2611,1.25223,1.57494,0.52441,0.50616,0.49797,0.2472,1.65358,1.48271,2.26826,0.000883,0.000883,0.000883
15,170.573,1.24431,1.19154,1.51703,0.71287,0.58929,0.69686,0.37484,1.5094,1.19413,2.07856,0.000874,0.000874,0.000874
16,181.635,1.23127,1.19694,1.52747,0.55295,0.61678,0.56787,0.24785,1.8228,1.57288,2.38059,0.000865,0.000865,0.000865
17,192.71,1.2201,1.14859,1.54514,0.60887,0.63921,0.65432,0.32176,1.67101,1.39641,2.08179,0.000856,0.000856,0.000856
18,203.905,1.23912,1.17815,1.52797,0.84004,0.52758,0.63985,0.33191,1.56744,1.34723,2.07999,0.000847,0.000847,0.000847
19,214.779,1.24401,1.13045,1.56647,0.64528,0.67923,0.67742,0.36447,1.50392,1.3633,2.09653,0.000838,0.000838,0.000838
20,225.798,1.28018,1.17241,1.55401,0.69655,0.64,0.6348,0.30508,1.64534,1.42751,2.11533,0.000829,0.000829,0.000829
21,236.719,1.18389,1.12099,1.51528,0.72042,0.59153,0.64965,0.31008,1.48491,1.39966,1.92556,0.00082,0.00082,0.00082
22,247.718,1.20029,1.05425,1.49887,0.70275,0.63558,0.68162,0.31848,1.56285,1.44294,2.04965,0.000811,0.000811,0.000811
23,258.496,1.1895,1.04217,1.4621,0.71275,0.61839,0.69362,0.33928,1.65611,1.21361,2.27088,0.000802,0.000802,0.000802
24,269.221,1.15172,1.04925,1.45475,0.64962,0.52177,0.61525,0.30377,1.67994,1.46923,2.6009,0.000793,0.000793,0.000793
25,280.229,1.20062,1.08319,1.50766,0.75587,0.66204,0.7081,0.38182,1.57194,1.14467,2.33158,0.000784,0.000784,0.000784
26,291.319,1.12936,1.0086,1.46624,0.76245,0.66204,0.70113,0.39192,1.46239,1.1542,2.06598,0.000775,0.000775,0.000775
27,302.361,1.16823,1.01549,1.44998,0.585,0.7219,0.59006,0.28223,1.61465,1.37754,2.20721,0.000766,0.000766,0.000766
28,313.326,1.14518,0.98417,1.43355,0.67335,0.68981,0.69008,0.38255,1.52065,1.22676,2.05481,0.000757,0.000757,0.000757
29,324.273,1.14838,1.01222,1.46184,0.76031,0.60913,0.66749,0.32822,1.57209,1.28523,2.20019,0.000748,0.000748,0.000748
30,335.337,1.13976,1.03245,1.4585,0.67543,0.6134,0.67635,0.36077,1.60757,1.32089,2.22243,0.000739,0.000739,0.000739
31,346.417,1.12873,0.98077,1.41809,0.64982,0.63433,0.66866,0.38332,1.44055,1.19352,1.97948,0.00073,0.00073,0.00073
32,357.619,1.10552,0.95605,1.44073,0.73916,0.50794,0.61191,0.29346,1.71127,1.52194,2.22686,0.000721,0.000721,0.000721
33,368.671,1.11254,0.90705,1.47827,0.66204,0.61376,0.67203,0.37024,1.58746,1.22845,2.21704,0.000712,0.000712,0.000712
34,379.554,1.07296,0.93639,1.43342,0.64229,0.73347,0.72353,0.40444,1.58836,1.26463,2.11791,0.000703,0.000703,0.000703
35,390.542,1.0661,0.91864,1.42124,0.67646,0.6821,0.72558,0.41902,1.56556,1.15731,2.12173,0.000694,0.000694,0.000694
36,401.539,1.07609,0.90478,1.39729,0.75923,0.69907,0.74302,0.4135,1.47323,1.12426,2.03763,0.000685,0.000685,0.000685
37,412.689,1.06282,0.883,1.41854,0.6685,0.64418,0.69429,0.32011,1.84494,1.26063,2.6459,0.000676,0.000676,0.000676
38,423.744,1.07987,0.88737,1.40384,0.81059,0.625,0.71348,0.36919,1.64319,1.09979,2.36841,0.000667,0.000667,0.000667
39,434.843,1.0925,0.91447,1.40741,0.75865,0.66336,0.70818,0.36727,1.63381,1.17763,2.22407,0.000658,0.000658,0.000658
40,445.537,1.06961,0.882,1.41818,0.69897,0.68957,0.70268,0.34841,1.58006,1.28631,2.14226,0.000649,0.000649,0.000649
41,456.289,1.01102,0.82463,1.38437,0.59028,0.68011,0.69074,0.38981,1.68282,1.2748,2.3978,0.00064,0.00064,0.00064
42,467.104,1.05243,0.88913,1.39743,0.71759,0.73558,0.71878,0.36605,1.73821,1.47418,2.33094,0.000631,0.000631,0.000631
43,478.056,1.0744,0.87799,1.38619,0.69231,0.72622,0.76721,0.41725,1.55037,1.11736,2.07338,0.000622,0.000622,0.000622
44,489.111,1.01105,0.82497,1.37332,0.75374,0.67989,0.76555,0.43023,1.54983,0.92062,2.06644,0.000613,0.000613,0.000613
45,500.308,1.02295,0.82876,1.36146,0.75493,0.70833,0.74745,0.40609,1.45997,1.08983,1.93861,0.000604,0.000604,0.000604
46,511.452,1.05037,0.83973,1.39248,0.6913,0.69841,0.71497,0.40871,1.5311,1.12087,2.06993,0.000595,0.000595,0.000595
47,522.537,1.05847,0.83635,1.35176,0.68959,0.74405,0.73138,0.40424,1.55064,1.07275,2.14628,0.000586,0.000586,0.000586
48,533.88,0.96705,0.80867,1.36928,0.73116,0.77183,0.74305,0.40028,1.5563,1.11445,2.19387,0.000577,0.000577,0.000577
49,545.61,0.98914,0.79952,1.33702,0.70442,0.7486,0.72564,0.40564,1.53507,1.20917,2.13515,0.000568,0.000568,0.000568
50,556.833,0.9783,0.79559,1.36098,0.75471,0.68981,0.73295,0.41227,1.52088,1.11639,2.18769,0.000559,0.000559,0.000559
51,568.031,1.03698,0.81854,1.38892,0.83672,0.68563,0.75393,0.40197,1.54044,1.08789,2.18166,0.00055,0.00055,0.00055
52,578.95,0.99007,0.81699,1.32662,0.72034,0.7391,0.7439,0.4031,1.44217,1.15524,2.0924,0.000541,0.000541,0.000541
53,589.924,0.97401,0.79309,1.35232,0.75767,0.70785,0.72073,0.40124,1.4667,1.01133,2.08704,0.000532,0.000532,0.000532
54,601.277,0.97852,0.76571,1.31954,0.75164,0.70833,0.72893,0.41467,1.46734,1.00482,2.08955,0.000523,0.000523,0.000523
55,612.502,0.97814,0.76152,1.31104,0.77089,0.75889,0.75089,0.42065,1.41325,1.04415,2.10597,0.000514,0.000514,0.000514
56,623.491,0.96358,0.75825,1.34362,0.83827,0.69775,0.75963,0.43405,1.53368,1.04525,2.20989,0.000505,0.000505,0.000505
57,634.219,1.00027,0.80023,1.33062,0.8249,0.66234,0.74147,0.40052,1.64357,1.15848,2.26319,0.000496,0.000496,0.000496
58,645.03,0.9635,0.77089,1.32286,0.75824,0.66071,0.72766,0.43346,1.43776,1.12179,2.00632,0.000487,0.000487,0.000487
59,655.804,0.94552,0.73481,1.31033,0.73166,0.73465,0.72419,0.45567,1.43041,1.05001,2.03497,0.000478,0.000478,0.000478
60,666.528,0.95344,0.78007,1.33723,0.75004,0.68915,0.74235,0.42051,1.54699,1.02216,2.19934,0.000469,0.000469,0.000469
61,677.26,0.91663,0.73454,1.30901,0.65429,0.73545,0.72514,0.42376,1.52826,1.05754,2.17884,0.00046,0.00046,0.00046
62,688.094,0.90178,0.71311,1.25383,0.81504,0.64764,0.74455,0.41917,1.47521,1.07801,2.0411,0.000451,0.000451,0.000451
63,699.104,0.94179,0.70309,1.28951,0.7645,0.68475,0.7491,0.43682,1.38933,1.04007,2.00705,0.000442,0.000442,0.000442
64,709.977,0.90905,0.68606,1.2788,0.87976,0.63434,0.7792,0.43246,1.4481,0.93555,2.13724,0.000433,0.000433,0.000433
65,720.946,0.91167,0.71933,1.28721,0.83302,0.66858,0.75977,0.43023,1.46488,0.93327,2.19452,0.000424,0.000424,0.000424
66,732.294,0.95962,0.72695,1.30973,0.72454,0.70767,0.71891,0.3827,1.5081,1.01019,2.23653,0.000415,0.000415,0.000415
67,743.394,0.90718,0.71284,1.30074,0.76919,0.7243,0.74892,0.40367,1.48142,1.01239,2.2163,0.000406,0.000406,0.000406
68,754.598,0.88284,0.68946,1.25892,0.79996,0.69775,0.76348,0.42568,1.4587,0.94154,2.10981,0.000397,0.000397,0.000397
69,768.652,0.87103,0.65986,1.24466,0.78643,0.71627,0.7436,0.42557,1.42379,0.97378,2.06749,0.000388,0.000388,0.000388
70,782.996,0.89642,0.6872,1.27759,0.80908,0.70152,0.74125,0.40484,1.43043,1.05803,2.11251,0.000379,0.000379,0.000379
71,797.196,0.86966,0.68551,1.26523,0.76765,0.74405,0.74714,0.41773,1.49541,1.09626,2.27496,0.00037,0.00037,0.00037
72,810.226,0.84229,0.66264,1.23424,0.74653,0.71627,0.73015,0.41372,1.48117,1.07499,2.26945,0.000361,0.000361,0.000361
73,824.248,0.89291,0.6654,1.27057,0.75493,0.70701,0.74149,0.42087,1.41515,1.06072,2.17441,0.000352,0.000352,0.000352
74,838.271,0.88519,0.67047,1.27935,0.73428,0.72397,0.73427,0.42502,1.41202,0.98644,2.18508,0.000343,0.000343,0.000343
75,851.922,0.84018,0.67419,1.24023,0.75222,0.73479,0.73653,0.42534,1.39526,0.96415,2.17751,0.000334,0.000334,0.000334
76,864.561,0.89565,0.65524,1.28637,0.82065,0.64286,0.7422,0.42435,1.42084,0.9883,2.16524,0.000325,0.000325,0.000325
77,876.297,0.85884,0.6646,1.27711,0.82196,0.6336,0.74302,0.42524,1.44097,0.97762,2.2265,0.000316,0.000316,0.000316
78,887.384,0.85463,0.65204,1.28285,0.80475,0.66433,0.74839,0.43083,1.38208,0.93737,2.06617,0.000307,0.000307,0.000307
79,898.178,0.83866,0.64869,1.22165,0.72502,0.71693,0.73137,0.42655,1.40444,0.97106,2.11487,0.000298,0.000298,0.000298
80,909.161,0.8472,0.63231,1.22261,0.72623,0.68915,0.71149,0.41803,1.49711,0.97139,2.33171,0.000289,0.000289,0.000289
81,920.242,0.83596,0.63881,1.24519,0.72439,0.69243,0.72438,0.42913,1.47331,0.98061,2.25346,0.00028,0.00028,0.00028
82,931.198,0.79696,0.60365,1.20928,0.7088,0.67063,0.70827,0.41335,1.44546,0.94624,2.23286,0.000271,0.000271,0.000271
83,942.251,0.87782,0.64888,1.25163,0.72294,0.67063,0.71457,0.41562,1.42522,0.94105,2.20759,0.000262,0.000262,0.000262
84,953.21,0.81358,0.61686,1.22699,0.72565,0.73479,0.73017,0.39869,1.45202,1.02828,2.19293,0.000253,0.000253,0.000253
85,964.344,0.80118,0.5981,1.23906,0.79558,0.66997,0.73715,0.41376,1.45228,1.03682,2.21906,0.000244,0.000244,0.000244
86,975.136,0.8342,0.61748,1.24164,0.72328,0.73756,0.74895,0.43957,1.45299,1.00084,2.22792,0.000235,0.000235,0.000235
87,985.894,0.80862,0.60177,1.22993,0.72722,0.77826,0.7522,0.42166,1.44245,0.98649,2.18773,0.000226,0.000226,0.000226
88,996.901,0.83023,0.61755,1.22844,0.72473,0.77856,0.74844,0.42968,1.43849,0.97183,2.20676,0.000217,0.000217,0.000217
89,1007.97,0.78623,0.58461,1.19101,0.73672,0.70767,0.73551,0.4274,1.43196,0.92907,2.23384,0.000208,0.000208,0.000208
90,1018.86,0.76702,0.58584,1.17413,0.77291,0.69841,0.73127,0.42614,1.45432,0.93349,2.26125,0.000199,0.000199,0.000199
91,1029.39,0.7242,0.60283,1.20962,0.71587,0.74811,0.72442,0.4154,1.47914,0.95926,2.27929,0.00019,0.00019,0.00019
92,1040.15,0.6703,0.52027,1.14155,0.81251,0.67063,0.74006,0.41253,1.48396,0.99375,2.30971,0.000181,0.000181,0.000181
93,1050.44,0.68425,0.5036,1.17185,0.78395,0.65063,0.7066,0.40378,1.46842,0.98453,2.28343,0.000172,0.000172,0.000172
94,1060.83,0.66853,0.51883,1.18857,0.77473,0.67063,0.70894,0.39377,1.49779,1.01687,2.28792,0.000163,0.000163,0.000163
95,1071.27,0.65137,0.49323,1.14968,0.75915,0.67989,0.71232,0.40828,1.50796,1.0403,2.28695,0.000154,0.000154,0.000154
96,1081.81,0.61839,0.46575,1.11312,0.79445,0.66785,0.71192,0.39256,1.49096,1.0137,2.2755,0.000145,0.000145,0.000145
97,1092.47,0.65958,0.4998,1.16366,0.76659,0.67063,0.71749,0.39344,1.49557,1.01646,2.26564,0.000136,0.000136,0.000136
98,1102.87,0.6016,0.44792,1.11113,0.72281,0.67989,0.72561,0.4065,1.46499,0.99495,2.2374,0.000127,0.000127,0.000127
99,1113.89,0.60392,0.45322,1.12084,0.75989,0.70581,0.7334,0.41754,1.46866,0.98329,2.24313,0.000118,0.000118,0.000118
100,1126.98,0.59656,0.43148,1.11722,0.76973,0.67063,0.73086,0.41219,1.45945,0.97126,2.23881,0.000109,0.000109,0.000109
