epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3565,1.30067,2.03922,1.65311,0.60363,0.07512,0.29308,0.11737,2.11827,3.23464,2.84825,0.0673882,0.000329412,0.000329412
2,86.2445,1.24995,1.41986,1.5947,0.53391,0.72173,0.66263,0.31191,1.58561,1.90898,2.23611,0.0343733,0.000647833,0.000647833
3,127.707,1.24093,1.30377,1.56859,0.72294,0.44094,0.56994,0.26241,1.93264,2.07058,2.32974,0.00134341,0.000951255,0.000951255
4,167.719,1.22844,1.23519,1.57394,0.6308,0.7686,0.69055,0.33897,1.82925,1.44153,2.48519,0.0009325,0.0009325,0.0009325
5,208.012,1.17992,1.18607,1.53299,0.84058,0.73938,0.81001,0.44362,1.57958,1.16641,2.11159,0.00091,0.00091,0.00091
6,248.265,1.16591,1.14199,1.5367,0.80939,0.82181,0.87059,0.51007,1.43302,1.10468,1.9003,0.0008875,0.0008875,0.0008875
7,288.18,1.13991,1.10895,1.50941,0.84889,0.75149,0.84983,0.49042,1.3775,1.02054,1.80667,0.000865,0.000865,0.000865
8,328.408,1.13565,1.07386,1.50754,0.89699,0.7616,0.84288,0.51883,1.37811,0.97687,1.88655,0.0008425,0.0008425,0.0008425
9,368.964,1.14418,1.06654,1.50991,0.72672,0.74916,0.76799,0.4274,1.65458,1.33799,2.16414,0.00082,0.00082,0.00082
10,409.192,1.08427,1.00187,1.46761,0.83909,0.7686,0.84106,0.47075,1.55086,1.17015,2.09179,0.0007975,0.0007975,0.0007975
11,448.967,1.05145,0.96365,1.43722,0.83803,0.70461,0.81943,0.50286,1.4175,1.00184,1.85374,0.000775,0.000775,0.000775
12,488.789,1.09932,0.99633,1.47331,0.85911,0.73706,0.83358,0.4634,1.63107,1.0619,2.22229,0.0007525,0.0007525,0.0007525
13,528.768,1.08445,0.96043,1.45579,0.85146,0.76426,0.83552,0.48572,1.58929,1.13472,2.15455,0.00073,0.00073,0.00073
14,568.679,1.03592,0.9114,1.43068,0.80757,0.82664,0.88372,0.54489,1.38556,0.86202,1.80723,0.0007075,0.0007075,0.0007075
15,608.472,1.05043,0.89831,1.42229,0.89506,0.82974,0.86576,0.52792,1.38482,0.88422,1.91646,0.000685,0.000685,0.000685
16,648.493,1.01222,0.84999,1.41177,0.76338,0.82213,0.84064,0.51532,1.46206,0.96088,1.93553,0.0006625,0.0006625,0.0006625
17,689.118,1.02076,0.86168,1.40708,0.89644,0.77976,0.83226,0.45498,1.58902,0.91357,2.15788,0.00064,0.00064,0.00064
18,729.952,0.9727,0.84151,1.3956,0.90866,0.84463,0.90654,0.57643,1.35146,0.79533,1.78148,0.0006175,0.0006175,0.0006175
19,771.321,0.95225,0.83513,1.36686,0.86932,0.7686,0.84126,0.53002,1.35837,0.95937,1.80823,0.000595,0.000595,0.000595
20,811.316,0.97339,0.81872,1.37445,0.8958,0.86507,0.89645,0.55907,1.32431,0.80885,1.74228,0.0005725,0.0005725,0.0005725
21,851.358,0.94531,0.77976,1.35037,0.89229,0.83298,0.89173,0.49994,1.46943,0.8287,1.94402,0.00055,0.00055,0.00055
22,891.347,0.94383,0.78571,1.36756,0.83663,0.75149,0.81312,0.48611,1.39675,0.96484,1.91027,0.0005275,0.0005275,0.0005275
23,931.719,0.9395,0.79225,1.35464,0.86323,0.85491,0.9007,0.56273,1.24944,0.77905,1.74011,0.000505,0.000505,0.000505
24,972.177,0.93328,0.77165,1.34977,0.87436,0.86717,0.90293,0.54484,1.34795,0.7641,1.83078,0.0004825,0.0004825,0.0004825
25,1012.53,0.91339,0.74063,1.33788,0.87065,0.8776,0.8951,0.50786,1.40494,0.73806,1.86179,0.00046,0.00046,0.00046
26,1052.62,0.90102,0.72291,1.33316,0.90244,0.80357,0.86286,0.47992,1.46965,0.93178,2.09652,0.0004375,0.0004375,0.0004375
27,1092.81,0.87901,0.70093,1.31088,0.88714,0.84689,0.86647,0.51018,1.39051,0.7934,1.92958,0.000415,0.000415,0.000415
28,1132.88,0.88802,0.70546,1.31352,0.87285,0.84397,0.88326,0.54556,1.29646,0.75651,1.79192,0.0003925,0.0003925,0.0003925
29,1173.24,0.89386,0.71736,1.32119,0.90741,0.82708,0.89456,0.56602,1.32338,0.75636,1.77217,0.00037,0.00037,0.00037
30,1213.76,0.87414,0.6902,1.29252,0.8889,0.83382,0.91629,0.56981,1.28497,0.74319,1.74563,0.0003475,0.0003475,0.0003475
31,1252.24,0.71056,0.57633,1.26703,0.83576,0.82499,0.84393,0.51891,1.35909,0.79719,1.88144,0.000325,0.000325,0.000325
32,1290.41,0.68184,0.53233,1.25535,0.92952,0.84301,0.88999,0.57373,1.26425,0.72295,1.73726,0.0003025,0.0003025,0.0003025
33,1328.45,0.67243,0.50778,1.23608,0.88618,0.83929,0.88496,0.53455,1.27368,0.77102,1.7724,0.00028,0.00028,0.00028
34,1366.55,0.64384,0.49178,1.21663,0.92211,0.81488,0.89214,0.5315,1.34596,0.72802,1.91566,0.0002575,0.0002575,0.0002575
35,1404.87,0.64156,0.48698,1.22225,0.87218,0.83998,0.8791,0.55389,1.32775,0.75543,1.86982,0.000235,0.000235,0.000235
36,1443.07,0.63992,0.47047,1.20654,0.89356,0.86696,0.89358,0.54736,1.30157,0.70294,1.83016,0.0002125,0.0002125,0.0002125
37,1481.18,0.60791,0.45102,1.18055,0.93326,0.8225,0.8815,0.52964,1.30989,0.74184,1.83208,0.00019,0.00019,0.00019
38,1519.25,0.60326,0.45264,1.16863,0.89846,0.86624,0.88396,0.52957,1.33069,0.75378,1.86573,0.0001675,0.0001675,0.0001675
39,1557.51,0.60637,0.44799,1.18326,0.90014,0.82237,0.87728,0.54686,1.30361,0.76289,1.86972,0.000145,0.000145,0.000145
40,1595.69,0.59137,0.43822,1.15974,0.89845,0.84331,0.89292,0.55929,1.30848,0.71073,1.8815,0.0001225,0.0001225,0.0001225
